speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,file,s1,s2,s3,var_speaker,,,,sum_ina,0.30239521,0.100798403,,sum_a
S0013,432,306,254,0.708333333,S0012,1552,962,706,0.619845361,S0008,2915,1630,1282,0.559176672,4899,2898,0.591549296,2242,SKJH.tsv,0.088181261,0.316799347,0.595019392,0.253823269,1,0,0,1,0,0,0,0
S0266,1378,909,699,0.659651669,S0267,2755,1519,1227,0.551361162,S0268,553,349,269,0.631103074,4686,2777,0.592616304,2195,SHZP.tsv,0.294067435,0.587921468,0.118011097,0.237403238,0,0,0,0,0,0,0,0
S0167,2284,1476,1162,0.646234676,S0104,1993,1189,924,0.596588058,S0110,277,195,148,0.703971119,4554,2860,0.628019324,2234,STKH.tsv,0.50153711,0.437637242,0.060825648,0.23815148,0,0,1,1,0,0,0,0
S0152,5664,3629,2781,0.640713277,S0012,3939,2897,2106,0.735465854,S0013,1637,1095,844,0.668906536,11240,7621,0.678024911,5731,SD65.tsv,0.503914591,0.35044484,0.145640569,0.179748912,0,0,0,0,0,0,0,0
S0655,1165,777,601,0.66695279,S0653,4051,2417,1929,0.596642804,S0654,868,489,370,0.563364055,6084,3683,0.605358317,2900,S6PD.tsv,0.191485865,0.665844839,0.142669297,0.288996004,0,0,0,0,0,0,0,0
S0266,762,564,404,0.74015748,S0267,2520,1108,876,0.43968254,S0310,660,368,276,0.557575758,3942,2040,0.517503805,1556,STQF.tsv,0.193302892,0.639269406,0.167427702,0.265264099,0,0,0,0,0,0,0,0
S0654,1273,640,501,0.502749411,S0655,1504,1019,752,0.677526596,S0653,3679,2386,1869,0.6485458,6456,4045,0.626548947,3122,SHC3.tsv,0.197180917,0.232961586,0.569857497,0.205615719,0,0,0,0,0,0,0,0
S0082,3456,2285,1779,0.661168981,S0084,2067,1292,1034,0.625060474,S0086,794,470,372,0.591939547,6317,4047,0.640652208,3185,SJW4.tsv,0.54709514,0.327212284,0.125692576,0.210767955,0,0,0,0,0,0,0,0
S0249,3946,2591,1922,0.656614293,S0245,1409,1014,731,0.719659333,S0246,2875,1875,1386,0.652173913,8230,5480,0.665856622,4039,S8K6.tsv,0.479465371,0.171202916,0.349331713,0.154752694,0,0,0,0,0,0,0,0
S0417,2053,1227,972,0.597661958,S0416,1381,917,709,0.664011586,S0418,43,18,16,0.418604651,3477,2162,0.621800403,1697,SQNA.tsv,0.590451539,0.397181478,0.012366983,0.294283669,0,0,1,1,0,0,0,0
